Compiled Sep 14 2023 18:31:29

363,	289.14	
364,	288.64	
365,	288.60	
366,	289.54	
367,	290.00	
368,	290.18	
369,	290.77	
370,	290.96	
371,	290.74	
372,	291.57	
373,	291.61	
374,	291.34	
375,	291.76	
376,	291.98	
377,	291.43	
378,	292.00	
379,	291.84	
380,	292.12	
381,	292.53	
382,	291.90	
383,	291.09	
384,	290.83	
385,	290.78	
386,	290.89	
387,	291.79	
388,	291.74	
389,	292.67	
390,	292.60	
391,	292.42	
392,	295.03	
393,	293.79	
394,	293.70	
395,	293.77	
396,	293.81	
397,	293.64	
398,	293.78	
399,	293.45	
400,	293.74	
401,	294.25	
402,	296.80	
403,	295.30	
404,	295.84	
405,	296.06	
406,	295.41	
407,	295.72	
408,	295.22	
409,	296.55	
410,	296.57	
411,	296.79	
412,	297.27	
413,	295.71	
414,	296.15	
415,	295.70	
416,	296.69	
417,	296.64	
418,	296.38	
419,	297.21	
420,	296.45	
421,	296.87	
422,	298.20	
423,	297.14	
424,	297.56	
425,	297.52	
426,	297.64	
427,	298.41	
428,	298.84	
429,	298.95	
430,	299.07	
431,	299.78	
432,	299.05	
433,	299.40	
434,	299.47	
435,	299.87	
436,	299.93	
437,	299.77	
438,	300.37	
439,	300.77	
440,	301.20	
441,	301.60	
442,	301.60	
443,	301.54	
444,	301.12	
445,	302.36	
446,	302.06	
447,	301.94	
448,	302.40	
449,	302.69	
450,	302.86	
451,	303.20	
452,	303.95	
453,	303.72	
454,	304.47	
455,	304.65	
456,	304.76	
457,	305.08	
458,	305.19	
459,	305.25	
460,	305.32	
461,	308.93	
462,	305.50	
463,	305.83	
464,	305.45	
465,	304.88	
466,	306.20	
467,	305.88	
468,	305.88	
469,	306.34	
470,	306.59	
471,	306.32	
472,	306.36	
473,	306.92	
474,	307.49	
475,	307.72	
476,	307.70	
477,	308.13	
478,	307.78	
479,	307.93	
480,	309.01	
481,	308.16	
482,	308.75	
483,	309.15	
484,	309.01	
485,	309.12	
486,	309.30	
487,	309.70	
488,	310.65	
489,	310.52	
490,	311.63	
491,	311.44	
492,	311.36	
493,	311.65	
494,	311.44	
495,	311.95	
496,	312.19	
497,	312.15	
498,	312.18	
499,	312.65	
500,	312.70	
501,	313.76	
502,	329.00	
503,	326.67	
504,	323.61	
505,	321.15	
506,	316.29	
507,	316.77	
508,	316.76	
509,	316.71	
510,	315.85	
511,	317.35	
