256,1236
512,1688
768,4286
1024,4795
1280,7086
1536,9866
1792,14363
2048,11790
2304,14080
2560,17470
2816,19747
3072,33514
3328,43736
3584,27390
3840,40549
4096,35270
4352,48681
4608,53304
4864,70561
5120,97997
5376,95762
5632,124785
5888,166924
6144,189983
6400,175473
6656,235936
6912,299265
7168,256545
7424,341434
7680,303875
7936,300552
8192,339741
